# sequenceName	alias names
chr1	AC_000158.1
chrUn_GJ057857v1	NW_003098602.1
chrUn_GJ057858v1	NW_003098603.1
chrUn_GJ057859v1	NW_003098604.1
chrUn_GJ057860v1	NW_003098605.1
chrUn_GJ057861v1	NW_003098606.1
chrUn_GJ057862v1	NW_003098607.1
chrUn_GJ057863v1	NW_003098608.1
chrUn_GJ057864v1	NW_003098609.1
chrUn_GJ057865v1	NW_003098610.1
chrUn_GJ057866v1	NW_003098611.1
chrUn_GJ057867v1	NW_003098612.1
chrUn_GJ057869v1	NW_003098614.1
chrUn_GJ057871v1	NW_003098616.1
chrUn_GJ057872v1	NW_003098617.1
chrUn_GJ057873v1	NW_003098618.1
chrUn_GJ057874v1	NW_003098619.1
chrUn_GJ057875v1	NW_003098620.1
chrUn_GJ057876v1	NW_003098621.1
chrUn_GJ057877v1	NW_003098622.1
chrUn_GJ057878v1	NW_003098623.1
chrUn_GJ057879v1	NW_003098624.1
chrUn_GJ057880v1	NW_003098625.1
chrUn_GJ057881v1	NW_003098626.1
chrUn_GJ057882v1	NW_003098627.1
chrUn_GJ057883v1	NW_003098628.1
chrUn_GJ057884v1	NW_003098629.1
chrUn_GJ057885v1	NW_003098630.1
chrUn_GJ057886v1	NW_003098631.1
chrUn_GJ057887v1	NW_003098632.1
chrUn_GJ057888v1	NW_003098633.1
chrUn_GJ057889v1	NW_003098634.1
chrUn_GJ057890v1	NW_003098635.1
chrUn_GJ057891v1	NW_003098636.1
chrUn_GJ057892v1	NW_003098637.1
chrUn_GJ057894v1	NW_003098639.1
chrUn_GJ057896v1	NW_003098641.1
chrUn_GJ057897v1	NW_003098642.1
chrUn_GJ057898v1	NW_003098643.1
chrUn_GJ057899v1	NW_003098644.1
chrUn_GJ057900v1	NW_003098645.1
chrUn_GJ057901v1	NW_003098646.1
chrUn_GJ057902v1	NW_003098647.1
chrUn_GJ057903v1	NW_003098648.1
chrUn_GJ057904v1	NW_003098649.1
chrUn_GJ057905v1	NW_003098650.1
chrUn_GJ057906v1	NW_003098651.1
chrUn_GJ057908v1	NW_003098653.1
chrUn_GJ057909v1	NW_003098654.1
chrUn_GJ057910v1	NW_003098655.1
chrUn_GJ057911v1	NW_003098656.1
chrUn_GJ057912v1	NW_003098657.1
chrUn_GJ057913v1	NW_003098658.1
chrUn_GJ057914v1	NW_003098659.1
chrUn_GJ057915v1	NW_003098660.1
chrUn_GJ057916v1	NW_003098661.1
chrUn_GJ057918v1	NW_003098663.1
chrUn_GJ057919v1	NW_003098664.1
chrUn_GJ057920v1	NW_003098665.1
chrUn_GJ057921v1	NW_003098666.1
chrUn_GJ057922v1	NW_003098667.1
chrUn_GJ057923v1	NW_003098668.1
chrUn_GJ057924v1	NW_003098669.1
chrUn_GJ057925v1	NW_003098670.1
chrUn_GJ057927v1	NW_003098672.1
chrUn_GJ057928v1	NW_003098673.1
chrUn_GJ057929v1	NW_003098674.1
chrUn_GJ057930v1	NW_003098675.1
chrUn_GJ057931v1	NW_003098676.1
chrUn_GJ057932v1	NW_003098677.1
chrUn_GJ057933v1	NW_003098678.1
chrUn_GJ057934v1	NW_003098679.1
chrUn_GJ057935v1	NW_003098680.1
chrUn_GJ057936v1	NW_003098681.1
chrUn_GJ057937v1	NW_003098682.1
chrUn_GJ057938v1	NW_003098683.1
chrUn_GJ057939v1	NW_003098684.1
chrUn_GJ057940v1	NW_003098685.1
chrUn_GJ057941v1	NW_003098686.1
chrUn_GJ057942v1	NW_003098687.1
chrUn_GJ057943v1	NW_003098688.1
chrUn_GJ057944v1	NW_003098689.1
chrUn_GJ057945v1	NW_003098690.1
chrUn_GJ057946v1	NW_003098691.1
chrUn_GJ057947v1	NW_003098692.1
chrUn_GJ057948v1	NW_003098693.1
chrUn_GJ057949v1	NW_003098694.1
chrUn_GJ057950v1	NW_003098695.1
chrUn_GJ057951v1	NW_003098696.1
chrUn_GJ057952v1	NW_003098697.1
chrUn_GJ057953v1	NW_003098698.1
chrUn_GJ057954v1	NW_003098699.1
chrUn_GJ057956v1	NW_003098701.1
chrUn_GJ057957v1	NW_003098702.1
chrUn_GJ057958v1	NW_003098703.1
chrUn_GJ057959v1	NW_003098704.1
chrUn_GJ057960v1	NW_003098705.1
chrUn_GJ057963v1	NW_003098708.1
chrUn_GJ057964v1	NW_003098709.1
chrUn_GJ057965v1	NW_003098710.1
chrUn_GJ057966v1	NW_003098711.1
chrUn_GJ057967v1	NW_003098712.1
chrUn_GJ057968v1	NW_003098713.1
chrUn_GJ057969v1	NW_003098714.1
chrUn_GJ057970v1	NW_003098715.1
chrUn_GJ057971v1	NW_003098716.1
chrUn_GJ057972v1	NW_003098717.1
chrUn_GJ057973v1	NW_003098718.1
chrUn_GJ057974v1	NW_003098719.1
chrUn_GJ057975v1	NW_003098720.1
chrUn_GJ057976v1	NW_003098721.1
chrUn_GJ057977v1	NW_003098722.1
chrUn_GJ057978v1	NW_003098723.1
chrUn_GJ057979v1	NW_003098724.1
chrUn_GJ057980v1	NW_003098725.1
chrUn_GJ057981v1	NW_003098726.1
chrUn_GJ057982v1	NW_003098727.1
chrUn_GJ057983v1	NW_003098728.1
chrUn_GJ057984v1	NW_003098729.1
chrUn_GJ057985v1	NW_003098730.1
chrUn_GJ057986v1	NW_003098731.1
chrUn_GJ057987v1	NW_003098732.1
chrUn_GJ057988v1	NW_003098733.1
chrUn_GJ057989v1	NW_003098734.1
chrUn_GJ057990v1	NW_003098735.1
chrUn_GJ057991v1	NW_003098736.1
chrUn_GJ057992v1	NW_003098737.1
chrUn_GJ057993v1	NW_003098738.1
chrUn_GJ057994v1	NW_003098739.1
chrUn_GJ057995v1	NW_003098740.1
chrUn_GJ057996v1	NW_003098741.1
chrUn_GJ057997v1	NW_003098742.1
chrUn_GJ057998v1	NW_003098743.1
chrUn_GJ057999v1	NW_003098744.1
chrUn_GJ058000v1	NW_003098745.1
chrUn_GJ058001v1	NW_003098746.1
chrUn_GJ058002v1	NW_003098747.1
chrUn_GJ058003v1	NW_003098748.1
chrUn_GJ058004v1	NW_003098749.1
chrUn_GJ058005v1	NW_003098750.1
chrUn_GJ058006v1	NW_003098751.1
chrUn_GJ058007v1	NW_003098752.1
chrUn_GJ058008v1	NW_003098753.1
chrUn_GJ058009v1	NW_003098754.1
chrUn_GJ058010v1	NW_003098755.1
chrUn_GJ058011v1	NW_003098756.1
chrUn_GJ058012v1	NW_003098757.1
chrUn_GJ058013v1	NW_003098758.1
chrUn_GJ058014v1	NW_003098759.1
chrUn_GJ058015v1	NW_003098760.1
chrUn_GJ058016v1	NW_003098761.1
chrUn_GJ058017v1	NW_003098762.1
chrUn_GJ058018v1	NW_003098763.1
chrUn_GJ058019v1	NW_003098764.1
chrUn_GJ058020v1	NW_003098765.1
chrUn_GJ058021v1	NW_003098766.1
chrUn_GJ058022v1	NW_003098767.1
chrUn_GJ058023v1	NW_003098768.1
chrUn_GJ058024v1	NW_003098769.1
chrUn_GJ058025v1	NW_003098770.1
chrUn_GJ058026v1	NW_003098771.1
chrUn_GJ058028v1	NW_003098773.1
chrUn_GJ058029v1	NW_003098774.1
chrUn_GJ058030v1	NW_003098775.1
chrUn_GJ058031v1	NW_003098776.1
chrUn_GJ058032v1	NW_003098777.1
chrUn_GJ058033v1	NW_003098778.1
chrUn_GJ058034v1	NW_003098779.1
chrUn_GJ058035v1	NW_003098780.1
chrUn_GJ058036v1	NW_003098781.1
chrUn_GJ058037v1	NW_003098782.1
chrUn_GJ058038v1	NW_003098783.1
chrUn_GJ058039v1	NW_003098784.1
chrUn_GJ058040v1	NW_003098785.1
chrUn_GJ058041v1	NW_003098786.1
chrUn_GJ058042v1	NW_003098787.1
chrUn_GJ058044v1	NW_003098789.1
chrUn_GJ058045v1	NW_003098790.1
chrUn_GJ058046v1	NW_003098791.1
chrUn_GJ058047v1	NW_003098792.1
chrUn_GJ058048v1	NW_003098793.1
chrUn_GJ058049v1	NW_003098794.1
chrUn_GJ058050v1	NW_003098795.1
chrUn_GJ058051v1	NW_003098796.1
chrUn_GJ058052v1	NW_003098797.1
chrUn_GJ058053v1	NW_003098798.1
chrUn_GJ058054v1	NW_003098799.1
chrUn_GJ058055v1	NW_003098800.1
chrUn_GJ058056v1	NW_003098801.1
chrUn_GJ058057v1	NW_003098802.1
chrUn_GJ058058v1	NW_003098803.1
chrUn_GJ058059v1	NW_003098804.1
chrUn_GJ058060v1	NW_003098805.1
chrUn_GJ058062v1	NW_003098807.1
chrUn_GJ058063v1	NW_003098808.1
chrUn_GJ058064v1	NW_003098809.1
chrUn_GJ058065v1	NW_003098810.1
chrUn_GJ058066v1	NW_003098811.1
chrUn_GJ058067v1	NW_003098812.1
chrUn_GJ058068v1	NW_003098813.1
chrUn_GJ058069v1	NW_003098814.1
chrUn_GJ058070v1	NW_003098815.1
chrUn_GJ058071v1	NW_003098816.1
chrUn_GJ058072v1	NW_003098817.1
chrUn_GJ058073v1	NW_003098818.1
chrUn_GJ058074v1	NW_003098819.1
chrUn_GJ058075v1	NW_003098820.1
chrUn_GJ058076v1	NW_003098821.1
chrUn_GJ058077v1	NW_003098822.1
chrUn_GJ058078v1	NW_003098823.1
chrUn_GJ058079v1	NW_003098824.1
chrUn_GJ058080v1	NW_003098825.1
chrUn_GJ058081v1	NW_003098826.1
chrUn_GJ058082v1	NW_003098827.1
chrUn_GJ058083v1	NW_003098828.1
chrUn_GJ058084v1	NW_003098829.1
chrUn_GJ058085v1	NW_003098830.1
chrUn_GJ058086v1	NW_003098831.1
chrUn_GJ058087v1	NW_003098832.1
chrUn_GJ058088v1	NW_003098833.1
chrUn_GJ058089v1	NW_003098834.1
chrUn_GJ058090v1	NW_003098835.1
chrUn_GJ058091v1	NW_003098836.1
chrUn_GJ058092v1	NW_003098837.1
chrUn_GJ058093v1	NW_003098838.1
chrUn_GJ058096v1	NW_003098841.1
chrUn_GJ058097v1	NW_003098842.1
chrUn_GJ058098v1	NW_003098843.1
chrUn_GJ058099v1	NW_003098844.1
chrUn_GJ058100v1	NW_003098845.1
chrUn_GJ058101v1	NW_003098846.1
chrUn_GJ058102v1	NW_003098847.1
chrUn_GJ058103v1	NW_003098848.1
chrUn_GJ058104v1	NW_003098849.1
chrUn_GJ058105v1	NW_003098850.1
chrUn_GJ058106v1	NW_003098851.1
chrUn_GJ058107v1	NW_003098852.1
chrUn_GJ058108v1	NW_003098853.1
chrUn_GJ058109v1	NW_003098854.1
chrUn_GJ058110v1	NW_003098855.1
chrUn_GJ058111v1	NW_003098856.1
chrUn_GJ058112v1	NW_003098857.1
chrUn_GJ058113v1	NW_003098858.1
chrUn_GJ058114v1	NW_003098859.1
chrUn_GJ058115v1	NW_003098860.1
chrUn_GJ058116v1	NW_003098861.1
chrUn_GJ058117v1	NW_003098862.1
chrUn_GJ058118v1	NW_003098863.1
chrUn_GJ058119v1	NW_003098864.1
chrUn_GJ058120v1	NW_003098865.1
chrUn_GJ058121v1	NW_003098866.1
chrUn_GJ058122v1	NW_003098867.1
chrUn_GJ058123v1	NW_003098868.1
chrUn_GJ058124v1	NW_003098869.1
chrUn_GJ058125v1	NW_003098870.1
chrUn_GJ058126v1	NW_003098871.1
chrUn_GJ058127v1	NW_003098872.1
chrUn_GJ058128v1	NW_003098873.1
chrUn_GJ058129v1	NW_003098874.1
chrUn_GJ058130v1	NW_003098875.1
chrUn_GJ058131v1	NW_003098876.1
chrUn_GJ058132v1	NW_003098877.1
chrUn_GJ058133v1	NW_003098878.1
chrUn_GJ058134v1	NW_003098879.1
chrUn_GJ058135v1	NW_003098880.1
chrUn_GJ058136v1	NW_003098881.1
chrUn_GJ058137v1	NW_003098882.1
chrUn_GJ058138v1	NW_003098883.1
chrUn_GJ058139v1	NW_003098884.1
chrUn_GJ058140v1	NW_003098885.1
chrUn_GJ058141v1	NW_003098886.1
chrUn_GJ058142v1	NW_003098887.1
chrUn_GJ058143v1	NW_003098888.1
chrUn_GJ058144v1	NW_003098889.1
chrUn_GJ058145v1	NW_003098890.1
chrUn_GJ058146v1	NW_003098891.1
chrUn_GJ058147v1	NW_003098892.1
chrUn_GJ058148v1	NW_003098893.1
chrUn_GJ058149v1	NW_003098894.1
chrUn_GJ058150v1	NW_003098895.1
chrUn_GJ058151v1	NW_003098896.1
chrUn_GJ058152v1	NW_003098897.1
chrUn_GJ058153v1	NW_003098898.1
chrUn_GJ058154v1	NW_003098899.1
chrUn_GJ058155v1	NW_003098900.1
chrUn_GJ058156v1	NW_003098901.1
chrUn_GJ058157v1	NW_003098902.1
chrUn_GJ058158v1	NW_003098903.1
chrUn_GJ058159v1	NW_003098904.1
chrUn_GJ058160v1	NW_003098905.1
chrUn_GJ058161v1	NW_003098906.1
chrUn_GJ058162v1	NW_003098907.1
chrUn_GJ058163v1	NW_003098908.1
chrUn_GJ058164v1	NW_003098909.1
chrUn_GJ058165v1	NW_003098910.1
chrUn_GJ058166v1	NW_003098911.1
chrUn_GJ058167v1	NW_003098912.1
chrUn_GJ058168v1	NW_003098913.1
chrUn_GJ058169v1	NW_003098914.1
chrUn_GJ058170v1	NW_003098915.1
chrUn_GJ058171v1	NW_003098916.1
chrUn_GJ058172v1	NW_003098917.1
chrUn_GJ058173v1	NW_003098918.1
chrUn_GJ058174v1	NW_003098919.1
chrUn_GJ058175v1	NW_003098920.1
chrUn_GJ058176v1	NW_003098921.1
chrUn_GJ058177v1	NW_003098922.1
chrUn_GJ058178v1	NW_003098923.1
chrUn_GJ058179v1	NW_003098924.1
chrUn_GJ058180v1	NW_003098925.1
chrUn_GJ058181v1	NW_003098926.1
chrUn_GJ058182v1	NW_003098927.1
chrUn_GJ058183v1	NW_003098928.1
chrUn_GJ058184v1	NW_003098929.1
chrUn_GJ058185v1	NW_003098930.1
chrUn_GJ058186v1	NW_003098931.1
chrUn_GJ058187v1	NW_003098932.1
chrUn_GJ058188v1	NW_003098933.1
chrUn_GJ058189v1	NW_003098934.1
chrUn_GJ058190v1	NW_003098935.1
chrUn_GJ058191v1	NW_003098936.1
chrUn_GJ058192v1	NW_003098937.1
chrUn_GJ058193v1	NW_003098938.1
chrUn_GJ058194v1	NW_003098939.1
chrUn_GJ058195v1	NW_003098940.1
chrUn_GJ058196v1	NW_003098941.1
chrUn_GJ058197v1	NW_003098942.1
chrUn_GJ058198v1	NW_003098943.1
chrUn_GJ058199v1	NW_003098944.1
chrUn_GJ058200v1	NW_003098945.1
chrUn_GJ058201v1	NW_003098946.1
chrUn_GJ058202v1	NW_003098947.1
chrUn_GJ058203v1	NW_003098948.1
chrUn_GJ058204v1	NW_003098949.1
chrUn_GJ058205v1	NW_003098950.1
chrUn_GJ058206v1	NW_003098951.1
chrUn_GJ058207v1	NW_003098952.1
chrUn_GJ058208v1	NW_003098953.1
chrUn_GJ058209v1	NW_003098954.1
chrUn_GJ058210v1	NW_003098955.1
chrUn_GJ058211v1	NW_003098956.1
chrUn_GJ058212v1	NW_003098957.1
chrUn_GJ058213v1	NW_003098958.1
chrUn_GJ058214v1	NW_003098959.1
chrUn_GJ058215v1	NW_003098960.1
chrUn_GJ058216v1	NW_003098961.1
chrUn_GJ058217v1	NW_003098962.1
chrUn_GJ058218v1	NW_003098963.1
chrUn_GJ058219v1	NW_003098964.1
chrUn_GJ058220v1	NW_003098965.1
chrUn_GJ058221v1	NW_003098966.1
chrUn_GJ058222v1	NW_003098967.1
chrUn_GJ058223v1	NW_003098968.1
chrUn_GJ058224v1	NW_003098969.1
chrUn_GJ058225v1	NW_003098970.1
chrUn_GJ058226v1	NW_003098971.1
chrUn_GJ058227v1	NW_003098972.1
chrUn_GJ058228v1	NW_003098973.1
chrUn_GJ058229v1	NW_003098974.1
chrUn_GJ058230v1	NW_003098975.1
chrUn_GJ058231v1	NW_003098976.1
chrUn_GJ058232v1	NW_003098977.1
chrUn_GJ058233v1	NW_003098978.1
chrUn_GJ058234v1	NW_003098979.1
chrUn_GJ058235v1	NW_003098980.1
chrUn_GJ058236v1	NW_003098981.1
chrUn_GJ058237v1	NW_003098982.1
chrUn_GJ058238v1	NW_003098983.1
chrUn_GJ058239v1	NW_003098984.1
chrUn_GJ058240v1	NW_003098985.1
chrUn_GJ058241v1	NW_003098986.1
chrUn_GJ058242v1	NW_003098987.1
chrUn_GJ058243v1	NW_003098988.1
chrUn_GJ058244v1	NW_003098989.1
chrUn_GJ058245v1	NW_003098990.1
chrUn_GJ058246v1	NW_003098991.1
chrUn_GJ058247v1	NW_003098992.1
chrUn_GJ058248v1	NW_003098993.1
chrUn_GJ058249v1	NW_003098994.1
chrUn_GJ058250v1	NW_003098995.1
chrUn_GJ058251v1	NW_003098996.1
chrUn_GJ058252v1	NW_003098997.1
chrUn_GJ058253v1	NW_003098998.1
chrUn_GJ058254v1	NW_003098999.1
chrUn_GJ058255v1	NW_003099000.1
chrUn_GJ058256v1	NW_003099001.1
chrUn_GJ058257v1	NW_003099002.1
chrUn_GJ058258v1	NW_003099003.1
chrUn_GJ058259v1	NW_003099004.1
chrUn_GJ058260v1	NW_003099005.1
chrUn_GJ058261v1	NW_003099006.1
chrUn_GJ058262v1	NW_003099007.1
chrUn_GJ058263v1	NW_003099008.1
chrUn_GJ058264v1	NW_003099009.1
chrUn_GJ058265v1	NW_003099010.1
chrUn_GJ058266v1	NW_003099011.1
chrUn_GJ058267v1	NW_003099012.1
chrUn_GJ058268v1	NW_003099013.1
chrUn_GJ058269v1	NW_003099014.1
chrUn_GJ058270v1	NW_003099015.1
chrUn_GJ058271v1	NW_003099016.1
chrUn_GJ058272v1	NW_003099017.1
chrUn_GJ058273v1	NW_003099018.1
chrUn_GJ058274v1	NW_003099019.1
chrUn_GJ058275v1	NW_003099020.1
chrUn_GJ058276v1	NW_003099021.1
chrUn_GJ058277v1	NW_003099022.1
chrUn_GJ058278v1	NW_003099023.1
chrUn_GJ058279v1	NW_003099024.1
chrUn_GJ058280v1	NW_003099025.1
chrUn_GJ058281v1	NW_003099026.1
chrUn_GJ058282v1	NW_003099027.1
chrUn_GJ058283v1	NW_003099028.1
chrUn_GJ058284v1	NW_003099029.1
chrUn_GJ058285v1	NW_003099030.1
chrUn_GJ058286v1	NW_003099031.1
chrUn_GJ058287v1	NW_003099032.1
chrUn_GJ058288v1	NW_003099033.1
chrUn_GJ058289v1	NW_003099034.1
chrUn_GJ058290v1	NW_003099035.1
chrUn_GJ058291v1	NW_003099036.1
chrUn_GJ058292v1	NW_003099037.1
chrUn_GJ058293v1	NW_003099038.1
chrUn_GJ058294v1	NW_003099039.1
chrUn_GJ058295v1	NW_003099040.1
chrUn_GJ058296v1	NW_003099041.1
chrUn_GJ058297v1	NW_003099042.1
chrUn_GJ058298v1	NW_003099043.1
chrUn_GJ058299v1	NW_003099044.1
chrUn_GJ058300v1	NW_003099045.1
chrUn_GJ058301v1	NW_003099046.1
chrUn_GJ058302v1	NW_003099047.1
chrUn_GJ058303v1	NW_003099048.1
chrUn_GJ058304v1	NW_003099049.1
chrUn_GJ058305v1	NW_003099050.1
chrUn_GJ058306v1	NW_003099051.1
chrUn_GJ058307v1	NW_003099052.1
chrUn_GJ058308v1	NW_003099053.1
chrUn_GJ058309v1	NW_003099054.1
chrUn_GJ058310v1	NW_003099055.1
chrUn_GJ058311v1	NW_003099056.1
chrUn_GJ058312v1	NW_003099057.1
chrUn_GJ058313v1	NW_003099058.1
chrUn_GJ058314v1	NW_003099059.1
chrUn_GJ058316v1	NW_003099061.1
chrUn_GJ058317v1	NW_003099062.1
chrUn_GJ058318v1	NW_003099063.1
chrUn_GJ058319v1	NW_003099064.1
chrUn_GJ058320v1	NW_003099065.1
chrUn_GJ058321v1	NW_003099066.1
chrUn_GJ058322v1	NW_003099067.1
chrUn_GJ058323v1	NW_003099068.1
chrUn_GJ058324v1	NW_003099069.1
chrUn_GJ058325v1	NW_003099070.1
chrUn_GJ058326v1	NW_003099071.1
chrUn_GJ058327v1	NW_003099072.1
chrUn_GJ058328v1	NW_003099073.1
chrUn_GJ058329v1	NW_003099074.1
chrUn_GJ058330v1	NW_003099075.1
chrUn_GJ058331v1	NW_003099076.1
chrUn_GJ058332v1	NW_003099077.1
chrUn_GJ058333v1	NW_003099078.1
chrUn_GJ058334v1	NW_003099079.1
chrUn_GJ058335v1	NW_003099080.1
chrUn_GJ058336v1	NW_003099081.1
chrUn_GJ058337v1	NW_003099082.1
chrUn_GJ058338v1	NW_003099083.1
chrUn_GJ058339v1	NW_003099084.1
chrUn_GJ058340v1	NW_003099085.1
chrUn_GJ058341v1	NW_003099086.1
chrUn_GJ058342v1	NW_003099087.1
chrUn_GJ058343v1	NW_003099088.1
chrUn_GJ058344v1	NW_003099089.1
chrUn_GJ058345v1	NW_003099090.1
chrUn_GJ058346v1	NW_003099091.1
chrUn_GJ058347v1	NW_003099092.1
chrUn_GJ058348v1	NW_003099093.1
chrUn_GJ058349v1	NW_003099094.1
chrUn_GJ058350v1	NW_003099095.1
chrUn_GJ058351v1	NW_003099096.1
chrUn_GJ058352v1	NW_003099097.1
chrUn_GJ058353v1	NW_003099098.1
chrUn_GJ058354v1	NW_003099099.1
chrUn_GJ058355v1	NW_003099100.1
chrUn_GJ058356v1	NW_003099101.1
chrUn_GJ058357v1	NW_003099102.1
chrUn_GJ058358v1	NW_003099103.1
chrUn_GJ058359v1	NW_003099104.1
chrUn_GJ058360v1	NW_003099105.1
chrUn_GJ058361v1	NW_003099106.1
chrUn_GJ058362v1	NW_003099107.1
chrUn_GJ058363v1	NW_003099108.1
chrUn_GJ058364v1	NW_003099109.1
chrUn_GJ058365v1	NW_003099110.1
chrUn_GJ058366v1	NW_003099111.1
chrUn_GJ058367v1	NW_003099112.1
chrUn_GJ058368v1	NW_003099113.1
chrUn_GJ058369v1	NW_003099114.1
chrUn_GJ058370v1	NW_003099115.1
chrUn_GJ058371v1	NW_003099116.1
chrUn_GJ058372v1	NW_003099117.1
chrUn_GJ058373v1	NW_003099118.1
chrUn_GJ058374v1	NW_003099119.1
chrUn_GJ058375v1	NW_003099120.1
chrUn_GJ058376v1	NW_003099121.1
chrUn_GJ058377v1	NW_003099122.1
chrUn_GJ058378v1	NW_003099123.1
chrUn_GJ058379v1	NW_003099124.1
chrUn_GJ058380v1	NW_003099125.1
chrUn_GJ058381v1	NW_003099126.1
chrUn_GJ058382v1	NW_003099127.1
chrUn_GJ058383v1	NW_003099128.1
chrUn_GJ058384v1	NW_003099129.1
chrUn_GJ058385v1	NW_003099130.1
chrUn_GJ058386v1	NW_003099131.1
chrUn_GJ058388v1	NW_003099133.1
chrUn_GJ058389v1	NW_003099134.1
chrUn_GJ058390v1	NW_003099135.1
chrUn_GJ058391v1	NW_003099136.1
chrUn_GJ058392v1	NW_003099137.1
chrUn_GJ058393v1	NW_003099138.1
chrUn_GJ058394v1	NW_003099139.1
chrUn_GJ058395v1	NW_003099140.1
chrUn_GJ058396v1	NW_003099141.1
chrUn_GJ058397v1	NW_003099142.1
chrUn_GJ058398v1	NW_003099143.1
chrUn_GJ058399v1	NW_003099144.1
chrUn_GJ058400v1	NW_003099145.1
chrUn_GJ058401v1	NW_003099146.1
chrUn_GJ058402v1	NW_003099147.1
chrUn_GJ058403v1	NW_003099148.1
chrUn_GJ058404v1	NW_003099149.1
chrUn_GJ058405v1	NW_003099150.1
chrUn_GJ058406v1	NW_003099151.1
chrUn_GJ058407v1	NW_003099152.1
chrUn_GJ058408v1	NW_003099153.1
chrUn_GJ058409v1	NW_003099154.1
chrUn_GJ058410v1	NW_003099155.1
chrUn_GJ058411v1	NW_003099156.1
chrUn_GJ058412v1	NW_003099157.1
chrUn_GJ058413v1	NW_003099158.1
chrUn_GJ058414v1	NW_003099159.1
chrUn_GJ058415v1	NW_003099160.1
chrUn_GJ058416v1	NW_003099161.1
chrUn_GJ058417v1	NW_003099162.1
chrUn_GJ058418v1	NW_003099163.1
chrUn_GJ058419v1	NW_003099164.1
chrUn_GJ058420v1	NW_003099165.1
chrUn_GJ058421v1	NW_003099166.1
chrUn_GJ058422v1	NW_003099167.1
chrUn_GJ058423v1	NW_003099168.1
chrUn_GJ058424v1	NW_003099169.1
chrUn_GJ058425v1	NW_003099170.1
chrUn_GJ058426v1	NW_003099171.1
chrUn_GJ058427v1	NW_003099172.1
chrUn_GJ058428v1	NW_003099173.1
chrUn_GJ058429v1	NW_003099174.1
chrUn_GJ058430v1	NW_003099175.1
chrUn_GJ058431v1	NW_003099176.1
chrUn_GJ058432v1	NW_003099177.1
chrUn_GJ058433v1	NW_003099178.1
chrUn_GJ058434v1	NW_003099179.1
chrUn_GJ058436v1	NW_003099181.1
chrUn_GJ058437v1	NW_003099182.1
chrUn_GJ058438v1	NW_003099183.1
chrUn_GJ058439v1	NW_003099184.1
chrUn_GJ058440v1	NW_003099185.1
chrUn_GJ058441v1	NW_003099186.1
chrUn_GJ058442v1	NW_003099187.1
chrUn_GJ058443v1	NW_003099188.1
chrUn_GJ058444v1	NW_003099189.1
chrUn_GJ058445v1	NW_003099190.1
chrUn_GJ058446v1	NW_003099191.1
chrUn_GJ058448v1	NW_003099193.1
chrUn_GJ058449v1	NW_003099194.1
chrUn_GJ058450v1	NW_003099195.1
chrUn_GJ058451v1	NW_003099196.1
chrUn_GJ058452v1	NW_003099197.1
chrUn_GJ058453v1	NW_003099198.1
chrUn_GJ058454v1	NW_003099199.1
chrUn_GJ058455v1	NW_003099200.1
chrUn_GJ058456v1	NW_003099201.1
chrUn_GJ058457v1	NW_003099202.1
chrUn_GJ058458v1	NW_003099203.1
chrUn_GJ058459v1	NW_003099204.1
chrUn_GJ058460v1	NW_003099205.1
chrUn_GJ058461v1	NW_003099206.1
chrUn_GJ058462v1	NW_003099207.1
chrUn_GJ058463v1	NW_003099208.1
chrUn_GJ058464v1	NW_003099209.1
chrUn_GJ058465v1	NW_003099210.1
chrUn_GJ058466v1	NW_003099211.1
chrUn_GJ058467v1	NW_003099212.1
chrUn_GJ058468v1	NW_003099213.1
chrUn_GJ058469v1	NW_003099214.1
chrUn_GJ058470v1	NW_003099215.1
chrUn_GJ058471v1	NW_003099216.1
chrUn_GJ058472v1	NW_003099217.1
chrUn_GJ058473v1	NW_003099218.1
chrUn_GJ058474v1	NW_003099219.1
chrUn_GJ058475v1	NW_003099220.1
chrUn_GJ058476v1	NW_003099221.1
chrUn_GJ058477v1	NW_003099222.1
chrUn_GJ058478v1	NW_003099223.1
chrUn_GJ058479v1	NW_003099224.1
chrUn_GJ058480v1	NW_003099225.1
chrUn_GJ058481v1	NW_003099226.1
chrUn_GJ058482v1	NW_003099227.1
chrUn_GJ058483v1	NW_003099228.1
chrUn_GJ058484v1	NW_003099229.1
chrUn_GJ058485v1	NW_003099230.1
chrUn_GJ058486v1	NW_003099231.1
chrUn_GJ058487v1	NW_003099232.1
chrUn_GJ058488v1	NW_003099233.1
chrUn_GJ058489v1	NW_003099234.1
chrUn_GJ058490v1	NW_003099235.1
chrUn_GJ058491v1	NW_003099236.1
chrUn_GJ058492v1	NW_003099237.1
chrUn_GJ058493v1	NW_003099238.1
chrUn_GJ058494v1	NW_003099239.1
chrUn_GJ058495v1	NW_003099240.1
chrUn_GJ058496v1	NW_003099241.1
chrUn_GJ058497v1	NW_003099242.1
chrUn_GJ058498v1	NW_003099243.1
chrUn_GJ058499v1	NW_003099244.1
chrUn_GJ058500v1	NW_003099245.1
chrUn_GJ058501v1	NW_003099246.1
chrUn_GJ058502v1	NW_003099247.1
chrUn_GJ058503v1	NW_003099248.1
chrUn_GJ058504v1	NW_003099249.1
chrUn_GJ058505v1	NW_003099250.1
chrUn_GJ058506v1	NW_003099251.1
chrUn_GJ058507v1	NW_003099252.1
chrUn_GJ058508v1	NW_003099253.1
chrUn_GJ058509v1	NW_003099254.1
chrUn_GJ058510v1	NW_003099255.1
