TfName,GeneName,Family,UniProt,Source,TaxGroup,Species
HINFP_HUMAN.H11MO.0.C,HINFP,Factors with multiple dispersed zinc fingers,Q9BQA5,Integrative,vertebrates,Homo sapiens
HLF_HUMAN.H11MO.0.C,HLF,C/EBP-related,Q16534,Integrative,vertebrates,Homo sapiens
HLTF_HUMAN.H11MO.0.D,HLTF,,Q14527,Integrative,vertebrates,Homo sapiens
HMBX1_HUMAN.H11MO.0.D,HMBOX1,POU domain factors,Q6NT76,ChIP-Seq,vertebrates,Homo sapiens
HME1_HUMAN.H11MO.0.D,EN1,NK-related factors,Q05925,HT-SELEX,vertebrates,Homo sapiens
HME2_HUMAN.H11MO.0.D,EN2,NK-related factors,P19622,HT-SELEX,vertebrates,Homo sapiens
HMGA1_HUMAN.H11MO.0.D,HMGA1,HMGA factors,P17096,Integrative,vertebrates,Homo sapiens
HMGA2_HUMAN.H11MO.0.D,HMGA2,HMGA factors,P52926,Integrative,vertebrates,Homo sapiens
HMX1_HUMAN.H11MO.0.D,HMX1,NK-related factors,Q9NP08,HT-SELEX,vertebrates,Homo sapiens
HMX2_HUMAN.H11MO.0.D,HMX2,NK-related factors,A2RU54,HT-SELEX,vertebrates,Homo sapiens
HMX3_HUMAN.H11MO.0.D,HMX3,NK-related factors,A6NHT5,HT-SELEX,vertebrates,Homo sapiens
HNF1A_HUMAN.H11MO.0.C,HNF1A,POU domain factors,P20823,ChIP-Seq,vertebrates,Homo sapiens
HNF1B_HUMAN.H11MO.0.A,HNF1B,POU domain factors,P35680,ChIP-Seq,vertebrates,Homo sapiens
HNF1B_HUMAN.H11MO.1.A,HNF1B,POU domain factors,P35680,ChIP-Seq,vertebrates,Homo sapiens
HNF4A_HUMAN.H11MO.0.A,HNF4A,RXR-related receptors (NR2),P41235,ChIP-Seq,vertebrates,Homo sapiens
HNF4G_HUMAN.H11MO.0.B,HNF4G,RXR-related receptors (NR2),Q14541,ChIP-Seq,vertebrates,Homo sapiens
HNF6_HUMAN.H11MO.0.B,ONECUT1,HD-CUT factors,Q9UBC0,ChIP-Seq,vertebrates,Homo sapiens
HOMEZ_HUMAN.H11MO.0.D,HOMEZ,HD-ZF factors,Q8IX15,HT-SELEX,vertebrates,Homo sapiens
HSF1_HUMAN.H11MO.0.A,HSF1,HSF factors,Q00613,ChIP-Seq,vertebrates,Homo sapiens
HSF1_HUMAN.H11MO.1.A,HSF1,HSF factors,Q00613,ChIP-Seq,vertebrates,Homo sapiens
HSF2_HUMAN.H11MO.0.A,HSF2,HSF factors,Q03933,Integrative,vertebrates,Homo sapiens
HSF4_HUMAN.H11MO.0.D,HSF4,HSF factors,Q9ULV5,HT-SELEX,vertebrates,Homo sapiens
HSFY1_HUMAN.H11MO.0.D,HSFY1; HSFY2,HSF factors,Q96LI6,HT-SELEX,vertebrates,Homo sapiens
HTF4_HUMAN.H11MO.0.A,TCF12,E2A-related factors,Q99081,ChIP-Seq,vertebrates,Homo sapiens
HXA10_HUMAN.H11MO.0.C,HOXA10,HOX-related factors,P31260,Integrative,vertebrates,Homo sapiens
HXA11_HUMAN.H11MO.0.D,HOXA11,HOX-related factors,P31270,HT-SELEX,vertebrates,Homo sapiens
HXA13_HUMAN.H11MO.0.C,HOXA13,HOX-related factors,P31271,Integrative,vertebrates,Homo sapiens
HXA1_HUMAN.H11MO.0.C,HOXA1,HOX-related factors,P49639,Integrative,vertebrates,Homo sapiens
HXA2_HUMAN.H11MO.0.D,HOXA2,HOX-related factors,O43364,HT-SELEX,vertebrates,Homo sapiens
HXA5_HUMAN.H11MO.0.D,HOXA5,HOX-related factors,P20719,Integrative,vertebrates,Homo sapiens
HXA7_HUMAN.H11MO.0.D,HOXA7,HOX-related factors,P31268,Integrative,vertebrates,Homo sapiens
HXA9_HUMAN.H11MO.0.B,HOXA9,HOX-related factors,P31269,ChIP-Seq,vertebrates,Homo sapiens
HXB13_HUMAN.H11MO.0.A,HOXB13,HOX-related factors,Q92826,ChIP-Seq,vertebrates,Homo sapiens
HXB1_HUMAN.H11MO.0.D,HOXB1,HOX-related factors,P14653,Integrative,vertebrates,Homo sapiens
HXB2_HUMAN.H11MO.0.D,HOXB2,HOX-related factors,P14652,HT-SELEX,vertebrates,Homo sapiens
HXB3_HUMAN.H11MO.0.D,HOXB3,HOX-related factors,P14651,HT-SELEX,vertebrates,Homo sapiens
HXB4_HUMAN.H11MO.0.B,HOXB4,HOX-related factors,P17483,ChIP-Seq,vertebrates,Homo sapiens
HXB6_HUMAN.H11MO.0.D,HOXB6,HOX-related factors,P17509,Integrative,vertebrates,Homo sapiens
HXB7_HUMAN.H11MO.0.C,HOXB7,HOX-related factors,P09629,Integrative,vertebrates,Homo sapiens
HXB8_HUMAN.H11MO.0.C,HOXB8,HOX-related factors,P17481,Integrative,vertebrates,Homo sapiens
HXC10_HUMAN.H11MO.0.D,HOXC10,HOX-related factors,Q9NYD6,HT-SELEX,vertebrates,Homo sapiens
HXC11_HUMAN.H11MO.0.D,HOXC11,HOX-related factors,O43248,HT-SELEX,vertebrates,Homo sapiens
HXC12_HUMAN.H11MO.0.D,HOXC12,HOX-related factors,P31275,HT-SELEX,vertebrates,Homo sapiens
HXC13_HUMAN.H11MO.0.D,HOXC13,HOX-related factors,P31276,HT-SELEX,vertebrates,Homo sapiens
HXC6_HUMAN.H11MO.0.D,HOXC6,HOX-related factors,P09630,Integrative,vertebrates,Homo sapiens
HXC8_HUMAN.H11MO.0.D,HOXC8,HOX-related factors,P31273,Integrative,vertebrates,Homo sapiens
HXC9_HUMAN.H11MO.0.C,HOXC9,HOX-related factors,P31274,ChIP-Seq,vertebrates,Homo sapiens
HXD10_HUMAN.H11MO.0.D,HOXD10,HOX-related factors,P28358,Integrative,vertebrates,Homo sapiens
HXD11_HUMAN.H11MO.0.D,HOXD11,HOX-related factors,P31277,HT-SELEX,vertebrates,Homo sapiens
HXD12_HUMAN.H11MO.0.D,HOXD12,HOX-related factors,P35452,HT-SELEX,vertebrates,Homo sapiens
HXD13_HUMAN.H11MO.0.D,HOXD13,HOX-related factors,P35453,Integrative,vertebrates,Homo sapiens
HXD3_HUMAN.H11MO.0.D,HOXD3,HOX-related factors,P31249,HT-SELEX,vertebrates,Homo sapiens
HXD4_HUMAN.H11MO.0.D,HOXD4,HOX-related factors,P09016,Integrative,vertebrates,Homo sapiens
HXD8_HUMAN.H11MO.0.D,HOXD8,HOX-related factors,P13378,HT-SELEX,vertebrates,Homo sapiens
HXD9_HUMAN.H11MO.0.D,HOXD9,HOX-related factors,P28356,Integrative,vertebrates,Homo sapiens
ID4_HUMAN.H11MO.0.D,ID4,HLH domain only,P47928,HT-SELEX,vertebrates,Homo sapiens
IKZF1_HUMAN.H11MO.0.C,IKZF1,Factors with multiple dispersed zinc fingers,Q13422,Integrative,vertebrates,Homo sapiens
INSM1_HUMAN.H11MO.0.C,INSM1,Factors with multiple dispersed zinc fingers,Q01101,Integrative,vertebrates,Homo sapiens
IRF1_HUMAN.H11MO.0.A,IRF1,Interferon-regulatory factors,P10914,ChIP-Seq,vertebrates,Homo sapiens
IRF2_HUMAN.H11MO.0.A,IRF2,Interferon-regulatory factors,P14316,ChIP-Seq,vertebrates,Homo sapiens
IRF3_HUMAN.H11MO.0.B,IRF3,Interferon-regulatory factors,Q14653,ChIP-Seq,vertebrates,Homo sapiens
IRF4_HUMAN.H11MO.0.A,IRF4,Interferon-regulatory factors,Q15306,ChIP-Seq,vertebrates,Homo sapiens
IRF5_HUMAN.H11MO.0.D,IRF5,Interferon-regulatory factors,Q13568,Integrative,vertebrates,Homo sapiens
IRF7_HUMAN.H11MO.0.C,IRF7,Interferon-regulatory factors,Q92985,Integrative,vertebrates,Homo sapiens
IRF8_HUMAN.H11MO.0.B,IRF8,Interferon-regulatory factors,Q02556,ChIP-Seq,vertebrates,Homo sapiens
IRF9_HUMAN.H11MO.0.C,IRF9,Interferon-regulatory factors,Q00978,Integrative,vertebrates,Homo sapiens
IRX2_HUMAN.H11MO.0.D,IRX2,TALE-type homeo domain factors,Q9BZI1,HT-SELEX,vertebrates,Homo sapiens
IRX3_HUMAN.H11MO.0.D,IRX3,TALE-type homeo domain factors,P78415,HT-SELEX,vertebrates,Homo sapiens
ISL1_HUMAN.H11MO.0.A,ISL1,HD-LIM factors,P61371,ChIP-Seq,vertebrates,Homo sapiens
ISL2_HUMAN.H11MO.0.D,ISL2,HD-LIM factors,Q96A47,HT-SELEX,vertebrates,Homo sapiens
ISX_HUMAN.H11MO.0.D,ISX,Paired-related HD factors,Q2M1V0,HT-SELEX,vertebrates,Homo sapiens
ITF2_HUMAN.H11MO.0.C,TCF4,E2A-related factors,P15884,ChIP-Seq,vertebrates,Homo sapiens
JDP2_HUMAN.H11MO.0.D,JDP2,Fos-related factors,Q8WYK2,HT-SELEX,vertebrates,Homo sapiens
JUNB_HUMAN.H11MO.0.A,JUNB,Jun-related factors,P17275,ChIP-Seq,vertebrates,Homo sapiens
JUND_HUMAN.H11MO.0.A,JUND,Jun-related factors,P17535,ChIP-Seq,vertebrates,Homo sapiens
JUN_HUMAN.H11MO.0.A,JUN,Jun-related factors,P05412,ChIP-Seq,vertebrates,Homo sapiens
KAISO_HUMAN.H11MO.0.A,ZBTB33,Other factors with up to three adjacent zinc fingers,Q86T24,ChIP-Seq,vertebrates,Homo sapiens
KAISO_HUMAN.H11MO.1.A,ZBTB33,Other factors with up to three adjacent zinc fingers,Q86T24,ChIP-Seq,vertebrates,Homo sapiens
KAISO_HUMAN.H11MO.2.A,ZBTB33,Other factors with up to three adjacent zinc fingers,Q86T24,Integrative,vertebrates,Homo sapiens
KLF12_HUMAN.H11MO.0.C,KLF12,Three-zinc finger Krüppel-related factors,Q9Y4X4,ChIP-Seq,vertebrates,Homo sapiens
KLF13_HUMAN.H11MO.0.D,KLF13,Three-zinc finger Krüppel-related factors,Q9Y2Y9,HT-SELEX,vertebrates,Homo sapiens
KLF14_HUMAN.H11MO.0.D,KLF14,Three-zinc finger Krüppel-related factors,Q8TD94,HT-SELEX,vertebrates,Homo sapiens
KLF15_HUMAN.H11MO.0.A,KLF15,Three-zinc finger Krüppel-related factors,Q9UIH9,ChIP-Seq,vertebrates,Homo sapiens
KLF16_HUMAN.H11MO.0.D,KLF16,Three-zinc finger Krüppel-related factors,Q9BXK1,HT-SELEX,vertebrates,Homo sapiens
KLF1_HUMAN.H11MO.0.A,KLF1,Three-zinc finger Krüppel-related factors,Q13351,ChIP-Seq,vertebrates,Homo sapiens
KLF3_HUMAN.H11MO.0.B,KLF3,Three-zinc finger Krüppel-related factors,P57682,ChIP-Seq,vertebrates,Homo sapiens
KLF4_HUMAN.H11MO.0.A,KLF4,Three-zinc finger Krüppel-related factors,O43474,ChIP-Seq,vertebrates,Homo sapiens
KLF5_HUMAN.H11MO.0.A,KLF5,Three-zinc finger Krüppel-related factors,Q13887,ChIP-Seq,vertebrates,Homo sapiens
KLF6_HUMAN.H11MO.0.A,KLF6,Three-zinc finger Krüppel-related factors,Q99612,ChIP-Seq,vertebrates,Homo sapiens
KLF8_HUMAN.H11MO.0.C,KLF8,Three-zinc finger Krüppel-related factors,O95600,Integrative,vertebrates,Homo sapiens
KLF9_HUMAN.H11MO.0.C,KLF9,Three-zinc finger Krüppel-related factors,Q13886,ChIP-Seq,vertebrates,Homo sapiens
LBX2_HUMAN.H11MO.0.D,LBX2,NK-related factors,Q6XYB7,HT-SELEX,vertebrates,Homo sapiens
LEF1_HUMAN.H11MO.0.A,LEF1,TCF-7-related factors,Q9UJU2,ChIP-Seq,vertebrates,Homo sapiens
LHX2_HUMAN.H11MO.0.A,LHX2,HD-LIM factors,P50458,ChIP-Seq,vertebrates,Homo sapiens
LHX3_HUMAN.H11MO.0.C,LHX3,HD-LIM factors,Q9UBR4,Integrative,vertebrates,Homo sapiens
LHX4_HUMAN.H11MO.0.D,LHX4,HD-LIM factors,Q969G2,HT-SELEX,vertebrates,Homo sapiens
LHX6_HUMAN.H11MO.0.D,LHX6,HD-LIM factors,Q9UPM6,ChIP-Seq,vertebrates,Homo sapiens
LHX8_HUMAN.H11MO.0.D,LHX8,HD-LIM factors,Q68G74,HT-SELEX,vertebrates,Homo sapiens
LHX9_HUMAN.H11MO.0.D,LHX9,HD-LIM factors,Q9NQ69,HT-SELEX,vertebrates,Homo sapiens
LMX1A_HUMAN.H11MO.0.D,LMX1A,HD-LIM factors,Q8TE12,HT-SELEX,vertebrates,Homo sapiens
LMX1B_HUMAN.H11MO.0.D,LMX1B,HD-LIM factors,O60663,HT-SELEX,vertebrates,Homo sapiens
LYL1_HUMAN.H11MO.0.A,LYL1,Tal-related factors,P12980,ChIP-Seq,vertebrates,Homo sapiens
MAFA_HUMAN.H11MO.0.D,MAFA,Maf-related factors,Q8NHW3,Integrative,vertebrates,Homo sapiens
MAFB_HUMAN.H11MO.0.B,MAFB,Maf-related factors,Q9Y5Q3,ChIP-Seq,vertebrates,Homo sapiens
MAFF_HUMAN.H11MO.0.B,MAFF,Maf-related factors,Q9ULX9,ChIP-Seq,vertebrates,Homo sapiens
MAFF_HUMAN.H11MO.1.B,MAFF,Maf-related factors,Q9ULX9,ChIP-Seq,vertebrates,Homo sapiens
MAFG_HUMAN.H11MO.0.A,MAFG,Maf-related factors,O15525,ChIP-Seq,vertebrates,Homo sapiens
MAFG_HUMAN.H11MO.1.A,MAFG,Maf-related factors,O15525,ChIP-Seq,vertebrates,Homo sapiens
MAFK_HUMAN.H11MO.0.A,MAFK,Maf-related factors,O60675,ChIP-Seq,vertebrates,Homo sapiens
MAFK_HUMAN.H11MO.1.A,MAFK,Maf-related factors,O60675,ChIP-Seq,vertebrates,Homo sapiens
MAF_HUMAN.H11MO.0.A,MAF,Maf-related factors,O75444,ChIP-Seq,vertebrates,Homo sapiens
MAF_HUMAN.H11MO.1.B,MAF,Maf-related factors,O75444,ChIP-Seq,vertebrates,Homo sapiens
MAX_HUMAN.H11MO.0.A,MAX,bHLH-ZIP factors,P61244,ChIP-Seq,vertebrates,Homo sapiens
MAZ_HUMAN.H11MO.0.A,MAZ,Factors with multiple dispersed zinc fingers,P56270,ChIP-Seq,vertebrates,Homo sapiens
MAZ_HUMAN.H11MO.1.A,MAZ,Factors with multiple dispersed zinc fingers,P56270,ChIP-Seq,vertebrates,Homo sapiens
MBD2_HUMAN.H11MO.0.B,MBD2,,Q9UBB5,Integrative,vertebrates,Homo sapiens
MCR_HUMAN.H11MO.0.D,NR3C2,Steroid hormone receptors (NR3),P08235,Integrative,vertebrates,Homo sapiens
MECP2_HUMAN.H11MO.0.C,MECP2,,P51608,Integrative,vertebrates,Homo sapiens
MEF2A_HUMAN.H11MO.0.A,MEF2A,Regulators of differentiation,Q02078,ChIP-Seq,vertebrates,Homo sapiens
MEF2B_HUMAN.H11MO.0.A,MEF2B,Regulators of differentiation,Q02080,ChIP-Seq,vertebrates,Homo sapiens
MEF2C_HUMAN.H11MO.0.A,MEF2C,Regulators of differentiation,Q06413,ChIP-Seq,vertebrates,Homo sapiens
MEF2D_HUMAN.H11MO.0.A,MEF2D,Regulators of differentiation,Q14814,ChIP-Seq,vertebrates,Homo sapiens
MEIS1_HUMAN.H11MO.0.A,MEIS1,TALE-type homeo domain factors,O00470,ChIP-Seq,vertebrates,Homo sapiens
MEIS1_HUMAN.H11MO.1.B,MEIS1,TALE-type homeo domain factors,O00470,ChIP-Seq,vertebrates,Homo sapiens
MEIS2_HUMAN.H11MO.0.B,MEIS2,TALE-type homeo domain factors,O14770,Integrative,vertebrates,Homo sapiens
MEIS3_HUMAN.H11MO.0.D,MEIS3,TALE-type homeo domain factors,Q99687,HT-SELEX,vertebrates,Homo sapiens
MEOX1_HUMAN.H11MO.0.D,MEOX1,HOX-related factors,P50221,HT-SELEX,vertebrates,Homo sapiens
MEOX2_HUMAN.H11MO.0.D,MEOX2,HOX-related factors,P50222,HT-SELEX,vertebrates,Homo sapiens
MESP1_HUMAN.H11MO.0.D,MESP1,Tal-related factors,Q9BRJ9,HT-SELEX,vertebrates,Homo sapiens
MGAP_HUMAN.H11MO.0.D,MGA,bHLH-ZIP factors,Q8IWI9,HT-SELEX,vertebrates,Homo sapiens
MITF_HUMAN.H11MO.0.A,MITF,bHLH-ZIP factors,O75030,ChIP-Seq,vertebrates,Homo sapiens
MIXL1_HUMAN.H11MO.0.D,MIXL1,Paired-related HD factors,Q9H2W2,HT-SELEX,vertebrates,Homo sapiens
MLXPL_HUMAN.H11MO.0.D,MLXIPL,bHLH-ZIP factors,Q9NP71,Integrative,vertebrates,Homo sapiens
MLX_HUMAN.H11MO.0.D,MLX,bHLH-ZIP factors,Q9UH92,HT-SELEX,vertebrates,Homo sapiens
MNX1_HUMAN.H11MO.0.D,MNX1,HOX-related factors,P50219,HT-SELEX,vertebrates,Homo sapiens
MSX1_HUMAN.H11MO.0.D,MSX1,NK-related factors,P28360,HT-SELEX,vertebrates,Homo sapiens
MSX2_HUMAN.H11MO.0.D,MSX2,NK-related factors,P35548,Integrative,vertebrates,Homo sapiens
MTF1_HUMAN.H11MO.0.C,MTF1,More than 3 adjacent zinc finger factors,Q14872,Integrative,vertebrates,Homo sapiens
MXI1_HUMAN.H11MO.0.A,MXI1,bHLH-ZIP factors,P50539,ChIP-Seq,vertebrates,Homo sapiens
MXI1_HUMAN.H11MO.1.A,MXI1,bHLH-ZIP factors,P50539,ChIP-Seq,vertebrates,Homo sapiens
MYBA_HUMAN.H11MO.0.D,MYBL1,Myb/SANT domain factors,P10243,ChIP-Seq,vertebrates,Homo sapiens
MYBB_HUMAN.H11MO.0.D,MYBL2,Myb/SANT domain factors,P10244,Integrative,vertebrates,Homo sapiens
MYB_HUMAN.H11MO.0.A,MYB,Myb/SANT domain factors,P10242,ChIP-Seq,vertebrates,Homo sapiens
MYCN_HUMAN.H11MO.0.A,MYCN,bHLH-ZIP factors,P04198,ChIP-Seq,vertebrates,Homo sapiens
MYC_HUMAN.H11MO.0.A,MYC,bHLH-ZIP factors,P01106,ChIP-Seq,vertebrates,Homo sapiens
MYF6_HUMAN.H11MO.0.C,MYF6,MyoD / ASC-related factors,P23409,Integrative,vertebrates,Homo sapiens
MYNN_HUMAN.H11MO.0.D,MYNN,More than 3 adjacent zinc finger factors,Q9NPC7,ChIP-Seq,vertebrates,Homo sapiens
MYOD1_HUMAN.H11MO.0.A,MYOD1,MyoD / ASC-related factors,P15172,ChIP-Seq,vertebrates,Homo sapiens
MYOD1_HUMAN.H11MO.1.A,MYOD1,MyoD / ASC-related factors,P15172,ChIP-Seq,vertebrates,Homo sapiens
MYOG_HUMAN.H11MO.0.B,MYOG,MyoD / ASC-related factors,P15173,ChIP-Seq,vertebrates,Homo sapiens
MZF1_HUMAN.H11MO.0.B,MZF1,More than 3 adjacent zinc finger factors,P28698,ChIP-Seq,vertebrates,Homo sapiens
NANOG_HUMAN.H11MO.0.A,NANOG,NK-related factors,Q9H9S0,ChIP-Seq,vertebrates,Homo sapiens
NANOG_HUMAN.H11MO.1.B,NANOG,NK-related factors,Q9H9S0,ChIP-Seq,vertebrates,Homo sapiens
NDF1_HUMAN.H11MO.0.A,NEUROD1,Tal-related factors,Q13562,ChIP-Seq,vertebrates,Homo sapiens
NDF2_HUMAN.H11MO.0.B,NEUROD2,Tal-related factors,Q15784,ChIP-Seq,vertebrates,Homo sapiens
NF2L1_HUMAN.H11MO.0.C,NFE2L1,Jun-related factors,Q14494,Integrative,vertebrates,Homo sapiens
NF2L2_HUMAN.H11MO.0.A,NFE2L2,Jun-related factors,Q16236,ChIP-Seq,vertebrates,Homo sapiens
NFAC1_HUMAN.H11MO.0.B,NFATC1,NFAT-related factors,O95644,ChIP-Seq,vertebrates,Homo sapiens
NFAC1_HUMAN.H11MO.1.B,NFATC1,NFAT-related factors,O95644,ChIP-Seq,vertebrates,Homo sapiens
NFAC2_HUMAN.H11MO.0.B,NFATC2,NFAT-related factors,Q13469,Integrative,vertebrates,Homo sapiens
NFAC3_HUMAN.H11MO.0.B,NFATC3,NFAT-related factors,Q12968,Integrative,vertebrates,Homo sapiens
NFAC4_HUMAN.H11MO.0.C,NFATC4,NFAT-related factors,Q14934,Integrative,vertebrates,Homo sapiens
NFAT5_HUMAN.H11MO.0.D,NFAT5,NFAT-related factors,O94916,ChIP-Seq,vertebrates,Homo sapiens
NFE2_HUMAN.H11MO.0.A,NFE2,Jun-related factors,Q16621,ChIP-Seq,vertebrates,Homo sapiens
NFIA_HUMAN.H11MO.0.C,NFIA,Nuclear factor 1,Q12857,Integrative,vertebrates,Homo sapiens
NFIA_HUMAN.H11MO.1.D,NFIA,Nuclear factor 1,Q12857,Integrative,vertebrates,Homo sapiens
NFIB_HUMAN.H11MO.0.D,NFIB,Nuclear factor 1,O00712,ChIP-Seq,vertebrates,Homo sapiens
NFIC_HUMAN.H11MO.0.A,NFIC,Nuclear factor 1,P08651,ChIP-Seq,vertebrates,Homo sapiens
NFIC_HUMAN.H11MO.1.A,NFIC,Nuclear factor 1,P08651,ChIP-Seq,vertebrates,Homo sapiens
NFIL3_HUMAN.H11MO.0.D,NFIL3,C/EBP-related,Q16649,ChIP-Seq,vertebrates,Homo sapiens
NFKB1_HUMAN.H11MO.1.B,NFKB1,NF-kappaB-related factors,P19838,ChIP-Seq,vertebrates,Homo sapiens
NFKB2_HUMAN.H11MO.0.B,NFKB2,NF-kappaB-related factors,Q00653,ChIP-Seq,vertebrates,Homo sapiens
NFYA_HUMAN.H11MO.0.A,NFYA,Heteromeric CCAAT-binding factors,P23511,ChIP-Seq,vertebrates,Homo sapiens
NFYB_HUMAN.H11MO.0.A,NFYB,Heteromeric CCAAT-binding factors,P25208,Integrative,vertebrates,Homo sapiens
NFYC_HUMAN.H11MO.0.A,NFYC,Heteromeric CCAAT-binding factors,Q13952,ChIP-Seq,vertebrates,Homo sapiens
NGN2_HUMAN.H11MO.0.D,NEUROG2,Tal-related factors,Q9H2A3,ChIP-Seq,vertebrates,Homo sapiens
NKX21_HUMAN.H11MO.0.A,NKX2-1,NK-related factors,P43699,ChIP-Seq,vertebrates,Homo sapiens
NKX22_HUMAN.H11MO.0.D,NKX2-2,NK-related factors,O95096,ChIP-Seq,vertebrates,Homo sapiens
NKX23_HUMAN.H11MO.0.D,NKX2-3,NK-related factors,Q8TAU0,HT-SELEX,vertebrates,Homo sapiens
NKX25_HUMAN.H11MO.0.B,NKX2-5,NK-related factors,P52952,ChIP-Seq,vertebrates,Homo sapiens
NKX28_HUMAN.H11MO.0.C,NKX2-8,NK-related factors,O15522,Integrative,vertebrates,Homo sapiens
NKX31_HUMAN.H11MO.0.C,NKX3-1,NK-related factors,Q99801,ChIP-Seq,vertebrates,Homo sapiens
NKX32_HUMAN.H11MO.0.C,NKX3-2,NK-related factors,P78367,ChIP-Seq,vertebrates,Homo sapiens
NKX61_HUMAN.H11MO.0.B,NKX6-1,NK-related factors,P78426,ChIP-Seq,vertebrates,Homo sapiens
NKX61_HUMAN.H11MO.1.B,NKX6-1,NK-related factors,P78426,ChIP-Seq,vertebrates,Homo sapiens
NKX62_HUMAN.H11MO.0.D,NKX6-2,NK-related factors,Q9C056,HT-SELEX,vertebrates,Homo sapiens
NOBOX_HUMAN.H11MO.0.C,NOBOX,Paired-related HD factors,O60393,Integrative,vertebrates,Homo sapiens
NOTO_HUMAN.H11MO.0.D,NOTO,NK-related factors,A8MTQ0,HT-SELEX,vertebrates,Homo sapiens
NR0B1_HUMAN.H11MO.0.D,NR0B1,DAX-related receptors (NR0),P51843,Integrative,vertebrates,Homo sapiens
NR1D1_HUMAN.H11MO.0.B,NR1D1,Thyroid hormone receptor-related factors (NR1),P20393,ChIP-Seq,vertebrates,Homo sapiens
NR1D1_HUMAN.H11MO.1.D,NR1D1,Thyroid hormone receptor-related factors (NR1),P20393,Integrative,vertebrates,Homo sapiens
NR1H2_HUMAN.H11MO.0.D,NR1H2,Thyroid hormone receptor-related factors (NR1),P55055,Integrative,vertebrates,Homo sapiens
NR1H3_HUMAN.H11MO.0.B,NR1H3,Thyroid hormone receptor-related factors (NR1),Q13133,ChIP-Seq,vertebrates,Homo sapiens
NR1H3_HUMAN.H11MO.1.B,NR1H3,Thyroid hormone receptor-related factors (NR1),Q13133,ChIP-Seq,vertebrates,Homo sapiens
NR1H4_HUMAN.H11MO.0.B,NR1H4,Thyroid hormone receptor-related factors (NR1),Q96RI1,ChIP-Seq,vertebrates,Homo sapiens
NR1H4_HUMAN.H11MO.1.B,NR1H4,Thyroid hormone receptor-related factors (NR1),Q96RI1,ChIP-Seq,vertebrates,Homo sapiens
NR1I2_HUMAN.H11MO.0.C,NR1I2,Thyroid hormone receptor-related factors (NR1),O75469,Integrative,vertebrates,Homo sapiens
NR1I2_HUMAN.H11MO.1.D,NR1I2,Thyroid hormone receptor-related factors (NR1),O75469,Integrative,vertebrates,Homo sapiens
NR1I3_HUMAN.H11MO.0.C,NR1I3,Thyroid hormone receptor-related factors (NR1),Q14994,Integrative,vertebrates,Homo sapiens
NR1I3_HUMAN.H11MO.1.D,NR1I3,Thyroid hormone receptor-related factors (NR1),Q14994,Integrative,vertebrates,Homo sapiens
NR2C1_HUMAN.H11MO.0.C,NR2C1,RXR-related receptors (NR2),P13056,Integrative,vertebrates,Homo sapiens
NR2C2_HUMAN.H11MO.0.B,NR2C2,RXR-related receptors (NR2),P49116,ChIP-Seq,vertebrates,Homo sapiens
NR2E1_HUMAN.H11MO.0.D,NR2E1,RXR-related receptors (NR2),Q9Y466,HT-SELEX,vertebrates,Homo sapiens
NR2E3_HUMAN.H11MO.0.C,NR2E3,RXR-related receptors (NR2),Q9Y5X4,Integrative,vertebrates,Homo sapiens
NR2F6_HUMAN.H11MO.0.D,NR2F6,RXR-related receptors (NR2),P10588,Integrative,vertebrates,Homo sapiens
NR4A1_HUMAN.H11MO.0.A,NR4A1,NGFI-B-related receptors (NR4),P22736,ChIP-Seq,vertebrates,Homo sapiens
NR4A2_HUMAN.H11MO.0.C,NR4A2,NGFI-B-related receptors (NR4),P43354,Integrative,vertebrates,Homo sapiens
NR4A3_HUMAN.H11MO.0.D,NR4A3,NGFI-B-related receptors (NR4),Q92570,Integrative,vertebrates,Homo sapiens
NR5A2_HUMAN.H11MO.0.B,NR5A2,FTZ-F1-related receptors (NR5),O00482,ChIP-Seq,vertebrates,Homo sapiens
NR6A1_HUMAN.H11MO.0.B,NR6A1,GCNF-related receptors (NR6),Q15406,Integrative,vertebrates,Homo sapiens
NRF1_HUMAN.H11MO.0.A,NRF1,NRF,Q16656,ChIP-Seq,vertebrates,Homo sapiens
NRL_HUMAN.H11MO.0.D,NRL,Maf-related factors,P54845,HT-SELEX,vertebrates,Homo sapiens
OLIG1_HUMAN.H11MO.0.D,OLIG1,Tal-related factors,Q8TAK6,HT-SELEX,vertebrates,Homo sapiens
OLIG2_HUMAN.H11MO.0.B,OLIG2,Tal-related factors,Q13516,ChIP-Seq,vertebrates,Homo sapiens
OLIG2_HUMAN.H11MO.1.B,OLIG2,Tal-related factors,Q13516,ChIP-Seq,vertebrates,Homo sapiens
OLIG3_HUMAN.H11MO.0.D,OLIG3,Tal-related factors,Q7RTU3,HT-SELEX,vertebrates,Homo sapiens
ONEC2_HUMAN.H11MO.0.D,ONECUT2,HD-CUT factors,O95948,Integrative,vertebrates,Homo sapiens
ONEC3_HUMAN.H11MO.0.D,ONECUT3,HD-CUT factors,O60422,HT-SELEX,vertebrates,Homo sapiens
OSR2_HUMAN.H11MO.0.C,OSR2,More than 3 adjacent zinc finger factors,Q8N2R0,ChIP-Seq,vertebrates,Homo sapiens
OTX1_HUMAN.H11MO.0.D,OTX1,Paired-related HD factors,P32242,Integrative,vertebrates,Homo sapiens
